,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SE,Viento_SW,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
12,2015-01-01,372.0,129.0,142.0,0.0,34.68,3.75,0.0,45.0,12.0,3.16,24.86774193548387,12.812903225806451,0.0,False,False,False,True,1,1,368.0,360.0,372.0,366.6666666666667,4.0,0.3467741935483871,138.66666666666666,11.956666666666665,43.0,0.0,12.05483870967742,21.741863799283152,5.166666666666667,8.623491155046827,0.0,372.0,356.5
13,2015-02-01,168.0,91.0,95.0,0.0,54.17,7.0,0.0,42.0,6.0,2.26,23.99642857142857,12.810714285714283,0.0,False,False,False,True,2,1,372.0,368.0,360.0,302.6666666666667,-204.0,0.5416666666666666,134.33333333333334,9.956666666666665,44.666666666666664,0.0,11.185714285714287,23.409562211981566,3.6999999999999997,12.998065476190474,0.0,336.0,330.1666666666667
14,2015-03-01,372.0,137.0,124.0,0.0,36.83,3.25,0.0,39.0,12.0,3.18,23.516129032258064,12.283870967741937,0.3,False,False,False,True,3,1,168.0,372.0,368.0,304.0,204.0,0.3682795698924731,119.0,10.0,42.0,0.0,11.232258064516127,24.126766513056836,0.09999999999999999,8.6605098855359,111.6,372.0,391.54545454545456
15,2015-04-01,360.0,150.0,136.0,0.0,41.67,2.92,0.0,35.0,12.0,3.89,19.84333333333333,9.663333333333332,30.1,False,False,False,True,4,2,372.0,168.0,372.0,300.0,-12.0,0.4166666666666667,126.0,10.0,38.666666666666664,0.0,10.179999999999998,22.45196364567332,10.133333333333335,8.268055555555554,10836.0,360.0,379.27272727272725
16,2015-05-01,372.0,144.0,121.0,1.0,38.71,3.5,2.38,42.0,12.0,2.88,15.051612903225807,7.461290322580646,130.2,False,False,True,False,5,2,360.0,372.0,168.0,368.0,12.0,0.3870967741935484,143.66666666666666,12.0,38.666666666666664,0.3333333333333333,7.590322580645162,19.470358422939068,53.53333333333333,5.8264308012487,48434.399999999994,372.0,391.54545454545456
17,2015-06-01,360.0,134.0,188.0,1.0,37.22,3.25,2.56,39.0,12.0,4.82,13.436666666666667,5.786666666666666,164.5,False,True,False,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.37222222222222223,142.66666666666666,12.0,38.666666666666664,0.6666666666666666,7.650000000000001,16.1105376344086,108.26666666666665,5.001425925925926,59220.0,360.0,368.1818181818182
18,2015-07-01,372.0,168.0,132.0,0.0,45.16,3.5,0.0,42.0,12.0,3.14,12.038709677419355,5.012903225806451,276.8,False,True,False,False,7,3,360.0,372.0,360.0,368.0,12.0,0.45161290322580644,148.66666666666666,12.0,41.0,0.6666666666666666,7.025806451612904,13.50899641577061,190.5,5.4368366285119665,102969.6,372.0,391.72727272727275
19,2015-08-01,372.0,147.0,189.0,0.0,39.52,2.58,0.0,31.0,12.0,6.1,13.151612903225804,6.096774193548387,265.0,False,True,False,False,8,3,372.0,360.0,372.0,368.0,0.0,0.3951612903225806,149.66666666666666,12.0,37.333333333333336,0.3333333333333333,7.0548387096774166,12.875663082437276,235.4333333333333,5.197008324661809,98580.0,372.0,369.0
20,2015-09-01,360.0,136.0,129.0,0.0,37.78,3.33,0.0,40.0,12.0,3.23,14.306666666666668,4.933333333333334,110.8,False,True,False,False,9,3,372.0,372.0,360.0,368.0,-12.0,0.37777777777777777,150.33333333333334,12.0,37.666666666666664,0.0,9.373333333333335,13.165663082437275,217.53333333333333,5.404740740740741,39888.0,360.0,346.54545454545456
21,2015-10-01,372.0,139.0,165.0,1.0,37.37,3.08,2.7,37.0,12.0,4.46,15.938709677419356,6.47741935483871,93.4,False,True,False,False,10,4,360.0,372.0,372.0,368.0,12.0,0.3736559139784946,140.66666666666666,12.0,36.0,0.3333333333333333,9.461290322580645,14.465663082437274,156.4,5.955593132154006,34744.8,372.0,357.72727272727275
22,2015-11-01,360.0,148.0,110.0,1.0,41.11,3.0,2.78,36.0,12.0,3.06,18.46333333333333,8.71,18.4,False,False,False,True,11,4,372.0,360.0,372.0,364.0,-12.0,0.4111111111111111,141.0,12.0,37.666666666666664,0.6666666666666666,9.75333333333333,16.236236559139783,74.20000000000002,7.59048148148148,6623.999999999999,360.0,340.0
23,2015-12-01,372.0,134.0,123.0,0.0,36.02,3.67,0.0,44.0,12.0,2.8,21.783870967741933,10.980645161290322,19.8,False,False,False,True,12,4,360.0,372.0,360.0,368.0,12.0,0.3602150537634409,140.33333333333334,12.0,39.0,0.6666666666666666,10.80322580645161,18.72863799283154,43.86666666666668,7.846878251821019,7365.6,368.0,349.09090909090907
24,2016-01-01,372.0,140.0,156.0,1.0,37.63,3.0,2.78,36.0,12.0,4.33,24.583870967741937,13.55483870967742,12.6,False,False,False,True,1,1,372.0,360.0,372.0,368.0,0.0,0.3763440860215054,140.66666666666666,12.0,38.666666666666664,0.6666666666666666,11.029032258064518,21.61035842293907,16.93333333333335,9.25199445022546,4687.2,372.0,356.5
25,2016-02-01,348.0,113.0,144.0,0.0,32.47,1.67,0.0,20.0,12.0,7.2,23.99285714285714,12.74642857142857,0.7,False,False,False,True,2,1,372.0,372.0,360.0,364.0,-24.0,0.32471264367816094,129.0,12.0,33.333333333333336,0.3333333333333333,11.24642857142857,23.45353302611367,11.033333333333353,7.790784072249589,243.6,168.0,330.1666666666667
26,2016-03-01,372.0,151.0,133.0,0.0,40.59,2.58,0.0,31.0,12.0,4.29,23.48709677419355,11.625806451612902,11.9,False,False,False,True,3,1,348.0,372.0,372.0,364.0,24.0,0.40591397849462363,134.66666666666666,12.0,29.0,0.3333333333333333,11.861290322580647,24.02127496159754,8.400000000000018,9.533740894901145,4426.8,372.0,391.54545454545456
27,2016-04-01,360.0,94.0,127.0,0.0,26.11,1.5,0.0,18.0,12.0,7.06,16.863333333333333,7.286666666666666,108.7,False,True,False,False,4,2,372.0,348.0,372.0,360.0,-12.0,0.2611111111111111,119.33333333333333,12.0,23.0,0.0,9.576666666666668,21.447762416794674,40.43333333333335,4.403203703703704,39132.0,360.0,379.27272727272725
28,2016-05-01,372.0,136.0,116.0,1.0,36.56,3.33,2.5,40.0,12.0,2.9,15.8,8.529032258064515,118.7,True,False,False,False,5,2,360.0,372.0,348.0,368.0,12.0,0.3655913978494624,127.0,12.0,29.666666666666668,0.3333333333333333,7.270967741935486,18.716810035842293,79.7666666666667,5.776344086021505,44156.4,372.0,391.54545454545456
29,2016-06-01,360.0,92.0,116.0,0.0,25.56,2.33,0.0,28.0,12.0,4.14,13.66,3.843333333333333,3.4,False,True,False,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.25555555555555554,107.33333333333333,12.0,28.666666666666668,0.3333333333333333,9.816666666666666,15.441111111111113,76.93333333333335,3.4908888888888887,1224.0,360.0,368.1818181818182
30,2016-07-01,372.0,134.0,85.0,2.0,36.02,2.83,5.88,34.0,12.0,2.5,12.341935483870968,4.745161290322581,230.6,False,False,True,False,7,3,360.0,372.0,360.0,368.0,12.0,0.3602150537634409,120.66666666666667,12.0,34.0,1.0,7.596774193548387,13.933978494623657,117.56666666666668,4.445750953867499,85783.2,372.0,391.72727272727275
31,2016-08-01,372.0,164.0,186.0,0.0,44.09,3.75,0.0,45.0,12.0,4.13,13.432258064516128,5.512903225806451,90.7,False,False,False,True,8,3,372.0,360.0,372.0,368.0,0.0,0.44086021505376344,130.0,12.0,35.666666666666664,0.6666666666666666,7.919354838709677,13.1447311827957,108.23333333333335,5.921748178980229,33740.4,372.0,369.0
32,2016-09-01,360.0,141.0,154.0,0.0,39.17,3.17,0.0,38.0,12.0,4.05,16.87666666666667,6.69,45.7,False,True,False,False,9,3,372.0,372.0,360.0,368.0,-12.0,0.39166666666666666,146.33333333333334,12.0,39.0,0.6666666666666666,10.186666666666667,14.216953405017923,122.33333333333333,6.610027777777779,16452.0,360.0,346.54545454545456
33,2016-10-01,372.0,122.0,136.0,0.0,32.8,2.83,0.0,34.0,12.0,4.0,16.780645161290323,7.5,92.8,False,False,False,True,10,4,360.0,372.0,372.0,368.0,12.0,0.3279569892473118,142.33333333333334,12.0,39.0,0.0,9.280645161290323,15.69652329749104,76.40000000000002,5.503329864724246,34521.6,372.0,357.72727272727275
34,2016-11-01,360.0,137.0,144.0,0.0,38.06,3.58,0.0,43.0,12.0,3.35,20.646666666666665,9.97,27.000000000000004,False,False,False,True,11,4,372.0,360.0,372.0,364.0,-12.0,0.38055555555555554,133.33333333333334,12.0,38.333333333333336,0.0,10.676666666666664,18.101326164874553,55.16666666666669,7.857203703703703,9720.000000000002,360.0,340.0
35,2016-12-01,372.0,131.0,134.0,1.0,35.22,3.25,2.56,39.0,12.0,3.44,21.76451612903226,11.503225806451614,40.1,False,False,False,True,12,4,360.0,372.0,360.0,368.0,12.0,0.3521505376344086,130.0,12.0,38.666666666666664,0.3333333333333333,10.261290322580646,19.730609318996414,53.30000000000002,7.664386056191468,14917.2,372.0,349.09090909090907
36,2017-01-01,372.0,149.0,150.0,1.0,40.05,3.17,2.63,38.0,12.0,3.95,25.47741935483871,13.325806451612904,10.5,False,False,False,True,1,1,372.0,360.0,372.0,368.0,0.0,0.40053763440860213,139.0,12.0,40.0,0.6666666666666666,12.151612903225805,22.629534050179206,25.86666666666669,10.20466527922303,3906.0,372.0,356.5
37,2017-02-01,336.0,118.0,105.0,2.0,35.12,2.67,6.25,32.0,12.0,3.28,22.575,13.592857142857143,21.9,False,True,False,False,2,1,372.0,372.0,360.0,360.0,-36.0,0.35119047619047616,132.66666666666666,12.0,36.333333333333336,1.3333333333333333,8.982142857142856,23.272311827956987,24.166666666666686,7.928124999999999,7358.4,348.0,330.1666666666667
38,2017-03-01,372.0,165.0,143.0,0.0,44.35,2.5,0.0,30.0,12.0,4.77,19.961290322580645,10.80967741935484,38.0,False,True,False,False,3,1,336.0,372.0,372.0,360.0,36.0,0.4435483870967742,144.0,12.0,33.333333333333336,1.0,9.151612903225805,22.671236559139786,23.466666666666686,8.853798126951093,14136.0,372.0,391.54545454545456
39,2017-04-01,360.0,162.0,194.0,0.0,45.0,3.42,0.0,41.0,12.0,4.73,17.853333333333335,9.433333333333334,52.1,False,True,False,False,4,2,372.0,336.0,372.0,356.0,-12.0,0.45,148.33333333333334,12.0,34.333333333333336,0.6666666666666666,8.420000000000002,20.129874551971326,37.33333333333335,8.034,18756.0,360.0,379.27272727272725
40,2017-05-01,372.0,134.0,134.0,1.0,36.02,2.5,3.33,30.0,12.0,4.47,13.78064516129032,6.406451612903226,235.5,True,False,False,False,5,2,360.0,372.0,336.0,368.0,12.0,0.3602150537634409,153.66666666666666,12.0,33.666666666666664,0.3333333333333333,7.374193548387094,17.1984229390681,108.53333333333335,4.963995837669094,87606.0,372.0,391.54545454545456
41,2017-06-01,360.0,144.0,114.0,0.0,40.0,2.75,0.0,33.0,12.0,3.45,12.363333333333332,5.569999999999999,348.2,False,False,True,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.4,146.66666666666666,12.0,34.666666666666664,0.3333333333333333,6.793333333333332,14.665770609318995,211.93333333333337,4.945333333333333,125352.0,360.0,368.1818181818182
42,2017-07-01,372.0,210.0,161.0,1.0,56.45,3.17,2.63,38.0,12.0,4.24,12.316129032258065,4.325806451612903,157.5,False,True,False,False,7,3,360.0,372.0,360.0,368.0,12.0,0.5645161290322581,162.66666666666666,12.0,33.666666666666664,0.6666666666666666,7.990322580645162,12.820035842293905,247.0666666666667,6.952653485952134,58590.0,372.0,391.72727272727275
43,2017-08-01,372.0,178.0,254.0,0.0,47.85,3.75,0.0,45.0,12.0,5.64,11.432258064516128,5.074193548387096,301.5,False,True,False,False,8,3,372.0,360.0,372.0,368.0,0.0,0.478494623655914,177.33333333333334,12.0,38.666666666666664,0.3333333333333333,6.358064516129033,12.037240143369175,269.06666666666666,5.470274020117933,112158.0,372.0,369.0
44,2017-09-01,360.0,141.0,122.0,1.0,39.17,3.25,2.56,39.0,12.0,3.13,13.98,5.28,114.2,False,True,False,False,9,3,372.0,372.0,360.0,368.0,-12.0,0.39166666666666666,176.33333333333334,12.0,40.666666666666664,0.6666666666666666,8.7,12.576129032258066,191.06666666666672,5.4755,41112.0,360.0,346.54545454545456
45,2017-10-01,372.0,140.0,175.0,1.0,37.63,3.67,2.27,44.0,12.0,3.98,14.761290322580644,7.367741935483871,173.8,False,False,False,True,10,4,360.0,372.0,372.0,368.0,12.0,0.3763440860215054,153.0,12.0,42.666666666666664,0.6666666666666666,7.393548387096772,13.391182795698924,196.50000000000003,5.555324314949704,64653.600000000006,372.0,357.72727272727275
46,2017-11-01,360.0,143.0,111.0,0.0,39.72,2.58,0.0,31.0,12.0,3.58,18.246666666666663,8.896666666666667,115.1,False,True,False,False,11,4,372.0,360.0,372.0,364.0,-12.0,0.3972222222222222,141.33333333333334,12.0,38.0,0.6666666666666666,9.349999999999996,15.662652329749102,134.3666666666667,7.24798148148148,41436.0,360.0,340.0
47,2017-12-01,372.0,123.0,160.0,0.0,33.06,2.67,0.0,32.0,12.0,5.0,21.141935483870967,11.035483870967743,4.6,False,False,False,True,12,4,360.0,372.0,360.0,368.0,12.0,0.33064516129032256,135.33333333333334,12.0,35.666666666666664,0.3333333333333333,10.106451612903223,18.04996415770609,97.83333333333337,6.990478668054109,1711.1999999999998,372.0,349.09090909090907
48,2018-01-01,372.0,174.0,141.0,1.0,46.77,3.67,2.27,44.0,12.0,3.2,22.783870967741933,12.229032258064516,18.3,False,True,False,False,1,1,372.0,360.0,372.0,368.0,0.0,0.46774193548387094,146.66666666666666,12.0,35.666666666666664,0.3333333333333333,10.554838709677417,20.724157706093187,46.000000000000036,10.656971904266387,6807.6,372.0,356.5
49,2018-02-01,336.0,148.0,123.0,0.0,44.05,2.17,0.0,26.0,12.0,4.73,23.35,13.267857142857142,5.3,False,False,False,True,2,1,372.0,372.0,360.0,360.0,-36.0,0.44047619047619047,148.33333333333334,12.0,34.0,0.3333333333333333,10.082142857142859,22.4252688172043,9.400000000000038,10.285119047619048,1780.8,336.0,330.1666666666667
50,2018-03-01,372.0,193.0,240.0,4.0,51.88,3.42,9.76,41.0,12.0,5.85,19.50967741935484,10.358064516129032,98.1,False,False,False,True,3,1,336.0,372.0,372.0,360.0,36.0,0.5188172043010753,171.66666666666666,12.0,37.0,1.6666666666666667,9.151612903225809,21.881182795698923,40.5666666666667,10.121956295525495,36493.2,372.0,391.54545454545456
51,2018-04-01,360.0,124.0,159.0,0.0,34.44,2.83,0.0,34.0,12.0,4.68,15.533333333333331,7.79,126.7,False,True,False,False,4,2,372.0,336.0,372.0,356.0,-12.0,0.34444444444444444,155.0,12.0,33.666666666666664,1.3333333333333333,7.743333333333331,19.464336917562722,76.70000000000003,5.35037037037037,45612.0,360.0,379.27272727272725
52,2018-05-01,372.0,128.0,116.0,1.0,34.41,2.42,3.45,29.0,12.0,4.0,14.074193548387097,7.300000000000001,182.5,False,False,True,False,5,2,360.0,372.0,336.0,368.0,12.0,0.34408602150537637,148.33333333333334,12.0,34.666666666666664,1.6666666666666667,6.774193548387096,16.372401433691756,135.76666666666668,4.842733263961152,67890.0,372.0,391.54545454545456
53,2018-06-01,360.0,147.0,155.0,0.0,40.83,3.0,0.0,36.0,12.0,4.31,12.056666666666668,4.266666666666667,176.9,False,True,False,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.4083333333333333,133.0,12.0,33.0,0.3333333333333333,7.790000000000002,13.888064516129033,162.03333333333336,4.923138888888889,63684.0,360.0,368.1818181818182
54,2018-07-01,372.0,173.0,172.0,1.0,46.51,4.0,2.08,48.0,12.0,3.58,11.75483870967742,4.512903225806451,179.2,False,False,True,False,7,3,360.0,372.0,360.0,368.0,12.0,0.4650537634408602,149.33333333333334,12.0,37.666666666666664,0.6666666666666666,7.241935483870969,12.628566308243728,179.5333333333334,5.466631980575789,66662.4,372.0,391.72727272727275
55,2018-08-01,370.0,142.0,140.0,2.0,38.38,3.18,5.26,38.0,11.94,3.68,12.90967741935484,4.812903225806451,167.7,False,True,False,False,8,3,372.0,360.0,372.0,367.3333333333333,-2.0,0.3837837837837838,154.0,11.979999999999999,40.666666666666664,1.0,8.096774193548388,12.240394265232977,174.60000000000002,4.954524847428074,62048.99999999999,372.0,369.0
56,2018-09-01,362.0,181.0,193.0,0.0,50.0,3.65,0.0,44.0,12.07,4.39,13.676666666666668,6.73,267.6,False,True,False,False,9,3,370.0,372.0,360.0,368.0,-8.0,0.5,165.33333333333334,12.003333333333336,43.333333333333336,1.0,6.946666666666667,12.780394265232976,204.83333333333337,6.838333333333334,96871.20000000001,360.0,346.54545454545456
57,2018-10-01,370.0,123.0,119.0,2.0,33.24,2.85,5.88,34.0,11.94,3.5,14.983870967741936,6.693548387096774,103.2,False,False,False,True,10,4,362.0,370.0,372.0,367.3333333333333,8.0,0.3324324324324324,148.66666666666666,11.983333333333334,38.666666666666664,1.3333333333333333,8.290322580645162,13.85673835125448,179.50000000000003,4.981124673060157,38184.0,372.0,357.72727272727275
58,2018-11-01,362.0,138.0,105.0,2.0,38.12,3.15,5.26,38.0,12.07,2.76,17.753333333333334,8.643333333333334,99.5,False,True,False,False,11,4,370.0,362.0,370.0,364.6666666666667,-8.0,0.3812154696132597,147.33333333333334,12.026666666666666,38.666666666666664,1.3333333333333333,9.11,15.471290322580648,156.7666666666667,6.767845303867404,36019.0,360.0,340.0
59,2018-12-01,372.0,209.0,121.0,2.0,56.18,3.0,5.56,36.0,12.0,3.36,20.59354838709677,10.651612903225804,44.0,False,False,False,True,12,4,362.0,370.0,362.0,368.0,10.0,0.5618279569892473,156.66666666666666,12.003333333333332,36.0,2.0,9.941935483870967,17.776917562724012,82.23333333333336,11.570031217481787,16368.0,372.0,349.09090909090907
60,2019-01-01,372.0,166.0,179.0,0.0,44.62,2.0,0.0,24.0,12.0,7.46,22.35806451612904,11.00967741935484,27.6,False,False,False,True,1,1,372.0,362.0,370.0,368.6666666666667,0.0,0.44623655913978494,171.0,12.023333333333333,32.666666666666664,1.3333333333333333,11.3483870967742,20.234982078853047,57.03333333333338,9.976985778702744,10267.2,372.0,356.5
61,2019-02-01,336.0,143.0,160.0,1.0,42.56,2.42,3.45,29.0,12.0,5.52,22.24285714285714,12.485714285714286,3.1,False,False,False,True,2,1,372.0,372.0,362.0,360.0,-36.0,0.4255952380952381,172.66666666666666,12.0,29.666666666666668,1.0,9.757142857142854,21.731490015360986,24.900000000000038,9.466454081632651,1041.6000000000001,336.0,330.1666666666667
62,2019-03-01,372.0,147.0,122.0,3.0,39.52,2.08,12.0,25.0,12.0,4.88,20.3,10.332258064516129,16.5,False,True,False,False,3,1,336.0,372.0,372.0,360.0,36.0,0.3951612903225806,152.0,12.0,26.0,1.3333333333333333,9.967741935483872,21.63364055299539,15.733333333333372,8.021774193548387,6138.0,372.0,391.54545454545456
63,2019-04-01,360.0,170.0,160.0,1.0,47.22,3.25,2.56,39.0,12.0,4.1,17.653333333333332,9.06,12.0,False,True,False,False,4,2,372.0,336.0,372.0,356.0,-12.0,0.4722222222222222,153.33333333333334,12.0,31.0,1.6666666666666667,8.593333333333332,20.065396825396824,10.533333333333372,8.336296296296295,4320.0,360.0,379.27272727272725
64,2019-05-01,372.0,252.0,72.0,0.0,67.74,2.08,0.0,25.0,12.0,2.88,14.303225806451612,7.909677419354838,309.7,False,False,True,False,5,2,360.0,372.0,336.0,368.0,12.0,0.6774193548387096,189.66666666666666,12.0,29.666666666666668,1.3333333333333333,6.393548387096774,17.418853046594982,112.73333333333336,9.689281997918833,115208.4,372.0,391.54545454545456
65,2019-06-01,360.0,180.0,127.0,1.0,50.0,2.08,4.0,25.0,12.0,5.08,12.293333333333331,6.79,383.4,False,False,True,False,6,2,372.0,360.0,372.0,364.0,-12.0,0.5,200.66666666666666,12.0,29.666666666666668,0.6666666666666666,5.503333333333331,14.749964157706094,235.0333333333334,6.146666666666666,138024.0,360.0,368.1818181818182
66,2019-07-01,372.0,142.0,91.0,1.0,38.17,1.83,4.55,22.0,12.0,4.14,12.422580645161291,6.283870967741936,240.0,False,True,False,False,7,3,360.0,372.0,360.0,368.0,12.0,0.3817204301075269,191.33333333333334,12.0,24.0,0.6666666666666666,6.138709677419356,13.006379928315411,311.03333333333336,4.741952826916407,89280.0,372.0,391.72727272727275
67,2019-08-01,372.0,188.0,122.0,0.0,50.54,2.92,0.0,35.0,12.0,3.49,13.067741935483872,5.132258064516129,122.1,False,True,False,False,8,3,372.0,360.0,372.0,368.0,0.0,0.5053763440860215,170.0,12.0,27.333333333333332,0.6666666666666666,7.935483870967743,12.594551971326164,248.5,6.6041276448144295,45421.2,370.0,369.0
68,2019-09-01,360.0,208.0,142.0,0.0,57.78,2.67,0.0,32.0,12.0,4.44,14.256666666666666,5.796666666666667,92.6,False,True,False,False,9,3,372.0,372.0,360.0,368.0,-12.0,0.5777777777777777,179.33333333333334,12.0,29.666666666666668,0.3333333333333333,8.459999999999999,13.24899641577061,151.5666666666667,8.237185185185185,33336.0,362.0,346.54545454545456
69,2019-10-01,372.0,179.0,300.0,2.0,48.12,2.92,5.71,35.0,12.0,8.57,15.506451612903223,6.72258064516129,88.8,False,False,False,True,10,4,360.0,372.0,372.0,368.0,12.0,0.48118279569892475,191.66666666666666,12.0,34.0,0.6666666666666666,8.783870967741933,14.27695340501792,101.1666666666667,7.4614377384668735,33033.6,370.0,357.72727272727275
70,2019-11-01,330.0,144.0,132.0,1.0,43.64,2.45,3.7,27.0,11.0,4.89,19.42,9.51,38.2,False,False,False,True,11,4,372.0,360.0,372.0,354.0,-42.0,0.43636363636363634,177.0,11.666666666666666,31.333333333333332,1.0,9.910000000000002,16.39437275985663,73.20000000000003,8.474181818181819,12606.000000000002,362.0,340.0
71,2019-12-01,341.0,144.0,97.0,0.0,42.23,1.91,0.0,21.0,11.0,4.62,22.40967741935484,10.929032258064517,4.800000000000001,False,False,False,True,12,4,330.0,372.0,360.0,347.6666666666667,11.0,0.4222873900293255,155.66666666666666,11.333333333333334,27.666666666666668,1.0,11.480645161290322,19.112043010752686,43.93333333333337,9.463324188818467,1636.8000000000002,372.0,349.09090909090907
72,2020-01-01,341.0,159.0,152.0,1.0,46.63,3.55,2.56,39.0,11.0,3.9,23.616129032258065,12.429032258064517,18.2,False,False,False,True,1,1,341.0,330.0,372.0,337.3333333333333,0.0,0.4662756598240469,149.0,11.0,29.0,0.6666666666666666,11.187096774193549,21.815268817204302,20.400000000000038,11.011626147005959,6206.2,372.0,356.5
